,ASH.S2.2,BC.S2X3,AUC.S2.2,T2.S2.1,ASH.N1.1.X1,ASH.N1.1.X3,ASH.N1.1X3,BC.N1,BC.N1.1X2,BC.N1.3X1,BC.N1.3X2,BC.N1.3X3,PAR.N1.3,AUC.N1.1,AUC.N1.3,OUI.N1.3X1,RE.N1.3,FN.N1.2,FN.N1.3,T2.N1.1,ASH.C1.1,ASH.C1.2,ASH.C1.3,PAR.C1.1,PAR.C1.2,AUC.C1.2X1,AUC.C1.3,RE.C1.2X2,C1.3X2,FN.C1.2,FN.C1.3,TN.C1.1,T2.C1.1,SF.C1.3,ASH.N2.2,ASH.N2.3,BC.N2.1.X3,BC.N2.1X1,BC.N2.1X2,BC.N2.2X1,BC.N2.2X2,AUC.N2.1.X1,AUC.N2.1X2,AUC.N2.2,RE.N2.2,RE.N2.2X2,RE.N2.3,FN.N2.2,SF.N2.3,ASH.C2.2,ASH.C2.3,BC.C2.1X1,BC.C2.1X2,BC.C2.3X1,BC.C2.3X2,BC.C2.3X2b,PAR.C2.3,C2.1,C2.3X1,OUI.C2.2,OUI.C2.2.X2,C2.2X2,RE.C2.2.1,S.M.C2.3,S.M.C2.3X2,FN.C2.1,FN.C2.3,T2.C2.3,SF.C2.2,ASH.S1.2.X1,ASH.S1.2.X3,ASH.S1.2X2,AUC.S1.1.X2,AUC.S1X1,S.M.S1.1X1,FN.S1.1,FN.S1.2,FN.S1.3,SF.S1.3
Bacteria|Acidobacteria|Holophagae|Holophagales,0,0,0.000279027588852848,0,0,0,0,0,0,0,0,0,0,0.000325425493833187,0,4.1243916522313e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000103018440300814,0,0,0.00012715635993727,0.000115754138210441,3.97819946692127e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000229441997063142,0,0,0,0,0,0.000426459438968916,0,0,3.58602883167181e-05,0,0,0,0,5.83873416243358e-05,0,0,0,0,0,0
Bacteria|Acidobacteria|iii1-8|SJA-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000162712746916593,0,0.000164975666089252,0,0,0,0,0,0,0,0,0,7.58063904787174e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47709066248464e-05,0,0.000198909973346064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000458883994126285,0.00046357999652315,0.00168247885217554,0,0,3.27428702400052e-05,0.000189537528430629,0,0,0,0,0,0,0,5.83873416243358e-05,0,0,0,0,0,0
Bacteria|Acidobacteria|RB25|NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000558971492453885,0,0,0,0,0,0,0,0,9.1776798825257e-05,0,4.67355236715427e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000107892323461186,0,0,0,0
Bacteria|Acidobacteria|Solibacteres|Solibacterales,0.0068466935998299,0.010380070265091,0.0306930347738133,0.0221326519595494,0.00842469281141932,0.0125705076551168,0.0104306980278382,0.0068891762833267,0.0217891667945374,0.00547060977842886,0.00655582589889159,0.023207768060051,0.0111032854124373,0.0531419831429594,0.0189841798501249,0.0452445764249773,0.0131177829099307,0.0162816980998799,0.0376275895391677,0.0112414733969986,0.00355664769787894,0.0200569800569801,0.00916119229566072,0.0105640565977335,0.00504662643993417,0.0136072470909298,0.0431723696834026,0.0102307737022612,0.0104028785025821,0.00824916057536859,0.023803203256349,0.0162347607670159,0.0227383863080685,0.0234850489547499,0.0194586803331198,0.00522586804683182,0.0297100706894785,0.0458884608943226,0.0131863603585042,0.00690228158752477,0.0213198867657466,0.017929046751155,0.0250028938534553,0.0367585630743525,0.0100965272384334,0.00879410794767506,0.0151275586513397,0.00484522207267833,0.00996940605549109,0.0073323907539539,0.00837532343728721,0.0127991096271564,0.0171936548493559,0.00944308990286002,0.0166655556296247,0.0223917566630338,0.00911935628073312,0.0196341775390125,0.0229441997063142,0.0328562322535783,0.0263588353507501,0.00847933513027853,0.012353058378163,0.0164369208604826,0.0205174374526156,0.0161321446489908,0.0124340235485181,0.0289033923832748,0.0122997540049199,0.0118172647355527,0.016493514116335,0.013646218594567,0.0188591113446605,0.0240325865580448,0.0232507957058855,0.0201748486886348,0.00413685152057245,0.0256273358248799,0.0150883747664894
Bacteria|Acidobacteria|Sva0725|Sva0725,0.00161598979374867,0.000239540083040562,0.00034878448606606,0.0138913880591644,0.000147156206313001,0.00169218372280419,0,0.00340728213290887,0.000383612091453123,0.000160227064640176,0.000101378751013788,0.000137731561187246,0,0.00237560610498226,5.55092978073827e-05,0.00156726882784789,0.000369515011547344,0.00067104612559158,0.0123210726580902,0.00245566166439291,0,0.000968660968660969,0,0,0,0.00117499905242012,0.00186547276409764,0,7.45726057532765e-05,0.00016581227287173,0.000265463233342182,0.000428842737241929,0.00161369193154034,0.00396930404869013,0,0,0.00455895912304067,0.0013398090772065,0.000206036880601628,0,0.00371549893842887,8.47709066248464e-05,0.000173631207315662,0.0253809125989577,0,0,4.27332165292082e-05,0,0.00110771178394345,0,0.00122565708838349,9.2747171211278e-05,0,0,0.000133324445036998,0.000148617853958189,0,6.39549756971092e-05,0.000963656387665198,0,0.00238351170724868,0,0,0.00111325758816018,0.00123199393479909,0.000192968237428119,0.000456760048721072,0.00154199239761888,0.000239995200095998,0.000144112984579911,0.00105652403592182,0.000318836883050631,0.0179833012202954,0.000633627517537904,0.00118681555807304,0.000420309347679892,0.000111806797853309,0.000237290146526665,0.000766393638932797
Bacteria|Acidobacteria|TM1|NA,0,0,0.000104635345819818,0,0,0,0.000207232411149104,0.000422801432550736,7.67224182906245e-05,2.28895806628823e-05,0,6.8865780593623e-05,0.000124290508348179,0.00026034039506655,5.55092978073827e-05,0,0,0.000423818605636787,0.000422781904934469,5.45702592087312e-05,0,0,0,0,0,7.58063904787174e-05,0.00042639377465089,0.00011625879207115,0.000111858908629915,0.000124359204653798,0.00194673037784267,0.000183789744532255,0.000146699266503667,0.000727705742259857,0,0,0.000307345558856675,0.000167476134650812,0,0.000127820029398607,0,8.47709066248464e-05,0.000231508276420882,0.000397819946692127,0,0,4.27332165292082e-05,0.00100942126514132,0.000210992720751134,0,6.80920604657497e-05,0.000370988684845112,0,0,0.000333311112592494,9.90785693054592e-05,0,0,0,0,4.67355236715427e-05,0,9.96214385335724e-05,0,9.47687642153146e-05,0.000656092007255606,0.000152253349573691,0.00143441153266872,0,7.20564922899553e-05,0,0.000191302129830379,0.000116774683248672,0,0,0.00134498991257566,0,0.000771192976211663,0.000478996024332998
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales,0.00982351690410376,0.0154902587032897,0.0035227233092672,0.0261993018317918,0.00974909866823633,0.0141821112006446,0.010948779055711,0.0215131317150816,0.0227098358140249,0.00494414942318257,0.00506893755068938,0.0121892431650713,0.0206736545552471,0.00647596732728042,0.00421870663336109,0.0254474964942671,0.00489607390300231,0.013279649643286,0.0153409434076222,0.00780354706684857,0.00892395240558717,0.00883190883190883,0.0183223845913214,0.0243933670529483,0.0181568842567197,0.00496531857635599,0.00559641829229293,0.00880660349938964,0.0134789984899047,0.00538889886833124,0.0207061322006902,0.0132941248544998,0.016039119804401,0.0278512834083091,0.0220211402946829,0.010200492437566,0.0249974387870095,0.0164126611957796,0.0101988255897806,0.0125902728957628,0.0139773531493277,0.00555249438392744,0.00463016552841764,0.0149182480009548,0.0080994119605015,0.00864753948188047,0.0129481646083501,0.00529385374607447,0.0245806519675071,0.0259428533850656,0.0223341958327659,0.0165089964756075,0.0285851165761737,0.0215565617864468,0.0168655422971802,0.00336867135638561,0.013589628967367,0.00118316705039652,0.0178964757709251,0.0492553746305847,0.0238351170724868,0.0180256064690027,0.0107591153616258,0.0341835565305655,0.0384761182714177,0.0123885608428853,0.0131952902963865,0.0115828731262999,0.00509989800203996,0.00965556996685401,0.0150261196219992,0.0122433363091442,0.0117358556664915,0.0051142792486988,0.0187193181205157,0.00840618695359785,0.0128577817531306,0.0116272171798066,0.00972361929395986
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales,0.158749734212205,0.0728201852443309,0.0422726797112064,0.137654298772807,0.0950261202266206,0.123851732473811,0.145269920215522,0.178148627138878,0.130351388675771,0.096044680461454,0.0615706947823736,0.0617726051924799,0.0813274226291586,0.0536301213837092,0.0894254787676936,0.0813330033820012,0.0250346420323326,0.166737303100939,0.168629582653862,0.175552523874488,0.15364718054837,0.130940170940171,0.114000983152344,0.0235610474422178,0.070213933077345,0.0423378690823636,0.0437053619017162,0.0936755217113294,0.106508324167117,0.0823672465490321,0.117069285903902,0.0636525148563377,0.171540342298289,0.0684043397724266,0.128523382447149,0.0631626551429576,0.175186968548304,0.0768715458047228,0.0945709281961471,0.0885792803732345,0.110757254069356,0.0906200991819607,0.0744877879384188,0.0956359151847874,0.144180627981804,0.0371551060789271,0.0581599076962523,0.116644235082997,0.0845025846608292,0.259264130470522,0.109287757047528,0.105407160081618,0.0647290535505163,0.108131119625373,0.161389240717286,0.0440899633409294,0.0369244523915959,0.0301227935533384,0.178827092511013,0.220200498348496,0.0479506472870029,0.0533468104222821,0.0751145646543136,0.165351494712026,0.222706595905989,0.0903091351163599,0.207724319935039,0.0682421286667145,0.127617447651047,0.0442426862660326,0.164289487585843,0.0982655273562046,0.221638348805979,0.0411405295315682,0.277175378971786,0.170813718897108,0.159660107334526,0.0907041585098179,0.146237486228864
Bacteria|Actinobacteria|Actinobacteria|Micrococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00207148258968204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115780942456872,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria|Actinobacteria|MB-A2-108|0319-7L14,0,0,0,0.000431856623600964,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113018294836477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115082366093447,0,0,0,0,0,0,0,0,4.58883994126285e-05,5.79474995653938e-05,0.000467355236715427,0,0,0.00114600045840018,0.000758150113722517,0,0,0,0,0.000216169476869866,0,0,0,0,0,0.000168123739071957,0,0,0
