,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo7256,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__
denovo7264,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
denovo7268,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Procabacteriales,f__Procabacteriaceae,g__,s__
denovo7296,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__,s__
denovo7300,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__,f__,g__,s__
denovo7301,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__,s__
denovo7303,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__,s__
denovo7309,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__,s__
denovo7311,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__
denovo7318,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__,s__
denovo7327,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo7329,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__
denovo7335,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,NA,NA,NA
denovo7339,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo7342,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__A21b,f__EB1003,g__,s__
denovo7352,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__
denovo7356,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__,g__,s__
denovo7357,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,s__celatum
denovo7359,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__,s__
denovo7369,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
denovo7377,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
denovo7383,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo7384,k__Bacteria,p__Acidobacteria,c__Sva0725,o__Sva0725,f__,g__,s__
denovo7385,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
denovo7397,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,NA,NA
denovo7398,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,NA,NA,NA
denovo7402,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo7422,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Ellin5290,f__,g__,s__
denovo7423,k__Bacteria,p__FBP,c__,o__,f__,g__,s__
denovo7424,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Nocardioides,s__
denovo7437,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__
denovo7450,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__,s__
denovo7456,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,s__
denovo7473,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Varibaculum,s__
denovo7484,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus Protochlamydia,s__
denovo7487,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo7490,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo7505,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,NA,NA
denovo7507,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo7508,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,NA,NA,NA,NA
denovo7510,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo7512,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo7518,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__
denovo7528,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Kineosporiaceae,g__,s__
denovo7538,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__,s__
denovo7547,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__,g__,s__
denovo7550,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo7553,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Pseudonocardia,s__
denovo7554,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo7563,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__,s__
denovo7569,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
denovo7573,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo7584,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__,s__
denovo7597,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__,s__
denovo7600,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__,s__
denovo7603,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__,s__
denovo7616,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,s__
denovo7623,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,NA
denovo7624,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__,s__
denovo7625,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__,g__,s__
denovo7629,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__,s__
denovo7636,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo7637,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Sporichthyaceae,g__,s__
denovo7649,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo7654,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
denovo7657,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__
denovo7660,k__Bacteria,p__FBP,c__,o__,f__,g__,s__
denovo7663,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo7666,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__
denovo7670,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Rhabdochlamydiaceae,g__Candidatus Rhabdochlamydia,s__
denovo7685,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__
denovo7695,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Actinomycetospora,s__
denovo7696,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__Ellin515,g__,s__
denovo7700,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__
denovo7704,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo7705,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
denovo7710,k__Bacteria,p__Firmicutes,c__Bacilli,o__Turicibacterales,f__Turicibacteraceae,g__Turicibacter,s__
denovo7712,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
denovo7718,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Waddliaceae,g__,s__
denovo7720,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Ellin329,f__,g__,s__
denovo7724,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__
denovo7733,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micrococcaceae,g__Arthrobacter,s__psychrolactophilus
denovo7748,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__
denovo7771,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__
denovo7784,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo7790,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rubrivivax,s__
denovo7794,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,NA,NA,NA,NA
denovo7805,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Thermomonosporaceae,g__Actinocorallia,s__
denovo7820,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Ellin5301,g__,s__
denovo7823,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Telmatospirillum,s__
denovo7833,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,NA,NA,NA,NA
denovo7834,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
denovo7838,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo7844,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,NA,NA
denovo7849,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,NA,NA
denovo7851,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Mycobacteriaceae,g__Mycobacterium,s__
denovo7854,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo7870,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo7872,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo7873,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Bradyrhizobiaceae,g__Bradyrhizobium,s__
denovo7875,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Conexibacteraceae,g__,s__
denovo7882,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__JG30-KF-AS9,f__,g__,s__
denovo7896,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__,g__,s__
denovo7909,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Pasteuriaceae,g__Pasteuria,s__
denovo7913,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__
denovo7918,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__,s__
denovo7932,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
denovo7935,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Pseudonocardia,s__
denovo7982,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__
denovo7985,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,NA,NA
denovo7986,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Coprococcus,s__
denovo8017,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo8022,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Streptomycetaceae,g__Streptomyces,s__
denovo8026,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,g__Pilimelia,s__
denovo8031,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__,s__
denovo8033,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo8042,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,NA,NA,NA
denovo8051,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo8059,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Gaiellales,f__,g__,s__
denovo8078,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,NA,NA
denovo8081,k__Bacteria,p__TM7,c__TM7-1,o__,f__,g__,s__
denovo8095,k__Bacteria,p__TM7,c__SC3,o__,f__,g__,s__
denovo8097,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8102,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo8120,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,NA,NA
denovo8122,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo8129,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,NA,NA,NA,NA
denovo8130,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8138,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,NA,NA,NA
denovo8141,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__,s__
denovo8159,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__,s__
denovo8163,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,NA,NA,NA,NA
denovo8165,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__,s__
denovo8173,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo8206,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
denovo8211,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo8215,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinospicaceae,g__,s__
denovo8227,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8233,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__,s__
denovo8257,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
denovo8268,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__A21b,f__EB1003,g__,s__
denovo8270,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Myxococcaceae,g__,s__
denovo8271,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo8285,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__EB1017,g__,s__
denovo8294,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo8298,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo8299,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Intrasporangiaceae,g__,s__
denovo8300,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Frankiaceae,g__,s__
denovo8307,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__Rickettsiella,s__
denovo8314,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
denovo8332,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo8333,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,NA,NA
denovo8336,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__,g__,s__
denovo8344,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8345,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__,s__
denovo8354,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,NA,NA,NA
denovo8366,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo8373,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__
denovo8381,k__Bacteria,p__TM7,c__TM7-1,o__,f__,g__,s__
denovo8382,k__Bacteria,p__Armatimonadetes,c__[Fimbriimonadia],o__[Fimbriimonadales],f__[Fimbriimonadaceae],g__Fimbriimonas,s__
denovo8399,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo8401,k__Bacteria,p__Armatimonadetes,c__[Fimbriimonadia],o__[Fimbriimonadales],f__[Fimbriimonadaceae],g__Fimbriimonas,s__
denovo8414,k__Bacteria,p__TM6,c__SBRH58,o__,f__,g__,s__
denovo8418,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo8430,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8431,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__,f__,g__,s__
denovo8432,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo8439,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Kaistia,s__
denovo8445,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__,s__
denovo8448,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
denovo8452,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8476,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo8478,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
denovo8482,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__
denovo8483,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bacteriovoracaceae,g__,s__
denovo8484,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Kineosporiaceae,g__Kineococcus,s__
denovo8487,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__,s__
denovo8494,k__Bacteria,p__Acidobacteria,c__TM1,o__,f__,g__,s__
denovo8500,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardiaceae,g__Rhodococcus,s__fascians
denovo8505,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Spirobacillales,f__,g__,s__
denovo8517,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
denovo8518,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__,s__
denovo8521,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo8530,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
denovo8548,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Ellin329,f__,g__,s__
denovo8549,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus Solibacter,s__
denovo8550,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__,s__
denovo8556,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinospicaceae,g__,s__
denovo8561,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
denovo8564,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__Gemmatimonas,s__
denovo8583,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
denovo8591,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__,s__
denovo8602,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus Solibacter,s__
denovo8604,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo8609,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__,f__,g__,s__
denovo8615,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,NA,NA,NA
denovo8626,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__
denovo8639,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
denovo8641,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__mitochondria,NA,NA
denovo8653,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Rhodoplanes,s__
denovo8661,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinospicaceae,g__,s__
denovo8672,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__,s__
denovo8673,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__
denovo8677,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
denovo8680,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,NA,NA
denovo8695,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
denovo8724,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,NA
denovo8731,k__Bacteria,p__Armatimonadetes,c__Armatimonadia,o__FW68,f__,g__,s__
denovo8737,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Frankiaceae,g__,s__
denovo8738,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__,s__
denovo8740,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__,g__,s__
denovo8742,k__Bacteria,p__Acidobacteria,c__RB25,o__,f__,g__,s__
denovo8749,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__,g__,s__
denovo8750,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__Candidatus Solibacter,s__
denovo8756,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Cystobacteraceae,NA,NA
denovo8766,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Acidobacteriaceae,g__,s__
denovo8773,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,NA,NA,NA,NA
denovo8794,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__
denovo8819,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,NA,NA
denovo8821,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Burkholderia,s__
denovo8829,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus Protochlamydia,s__
denovo8832,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,NA
denovo8841,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__A21b,f__UD5,g__,s__
denovo8856,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,g__Candidatus Protochlamydia,s__
